ticket_id,days_to_departure,price,is_weekend,flight_duration_min
0,39,240.60347988974837,1,170
1,52,226.36450803147144,0,208
2,29,202.33662396308853,0,244
3,15,382.86887919656095,0,164
4,43,231.35697792301602,0,206
5,8,288.974858501878,0,280
6,21,253.03548682257696,1,65
7,39,226.27133513058175,1,319
8,58,226.33927993692728,0,358
9,19,170.31414923244836,1,101
10,23,306.26400149500995,1,318
11,11,350.7748043552908,1,330
12,11,356.8493719351576,1,106
13,24,256.2715879268149,0,144
14,53,251.64257152674432,1,233
15,36,183.71567962666455,1,117
16,40,266.0352103323085,1,258
17,24,252.58938534469695,0,268
18,3,426.9796692180379,1,307
19,22,286.71549545160724,0,270
20,53,263.69097032307354,0,98
21,2,536.3637751170799,0,311
22,24,261.9191290064202,0,190
23,44,170.6363716255442,1,350
24,30,294.4172363768469,0,309
25,38,180.70036623928056,0,111
26,2,498.06205092937444,0,73
27,21,248.5703277260723,0,215
28,33,285.1375789168053,0,89
29,12,332.62050858385993,1,149
30,58,216.70792144711635,0,226
31,22,282.1289289822558,1,128
32,44,150.0,1,222
33,25,202.4955389550608,0,301
34,49,185.05247802681993,1,111
35,27,298.3249312022766,1,201
36,59,249.39937481206704,1,122
37,42,232.4884527487184,0,351
38,28,248.56951181215834,0,150
39,16,337.24049321327095,0,211
40,15,253.9910166746724,0,216
41,47,155.12996790663135,0,209
42,51,273.59052845053446,0,330
43,44,231.31417408247526,0,128
44,55,265.54072676543194,1,175
45,52,216.62968415897652,1,251
46,57,175.30690312515017,0,63
47,3,470.14108605414884,1,134
48,37,226.82454301075575,0,357
49,51,228.4778833744897,0,300
50,7,405.8285247058708,0,89
51,21,190.5194215853104,1,202
52,9,314.29593302379914,0,242
53,39,184.05016549206616,0,75
54,18,150.0,0,170
55,4,397.5517405488888,0,260
56,25,240.0126853115288,1,166
57,14,297.84277181420464,0,221
58,50,208.73080570805774,1,342
59,58,150.0,1,328
60,9,258.87842113725685,0,214
61,26,302.88497887137225,0,132
62,53,176.68712205398697,1,256
63,2,612.4946098179586,1,302
64,20,300.11826224761677,1,145
65,28,218.59372840388616,1,346
66,47,184.3793751781984,0,318
67,7,377.39564845652893,1,345
68,44,210.17665996754124,1,208
69,8,233.82860412611316,1,249
70,47,248.94916436449626,1,276
71,35,248.64095017068706,0,145
72,14,323.5519768024056,0,275
73,17,273.0353055235704,0,177
74,36,199.56967817474117,1,146
75,50,283.0917851173616,1,99
76,40,292.7397655363812,0,220
77,4,411.66029819926035,0,250
78,2,536.3494290599818,1,84
79,6,276.6935917018876,0,211
80,54,187.80550106449436,1,154
81,42,261.29429605145606,1,105
82,4,372.13598498186496,1,197
83,54,150.0,1,347
84,29,408.12722281333834,1,223
85,18,179.461281026034,1,75
86,26,349.87460685874294,0,77
87,44,206.85104999230924,0,195
88,34,224.3432786142382,0,306
89,10,257.29517729971093,1,307
90,36,266.16888526392165,0,257
91,14,194.67795601116245,1,60
92,31,150.0,1,249
93,48,300.91673973423644,1,353
94,15,222.3013800596511,1,104
95,8,348.4155170880953,0,91
96,14,212.3938628218559,0,177
97,23,277.08771881139575,0,355
98,57,301.4187042492673,1,243
99,40,198.0341746316832,0,250
100,21,150.0,0,294
101,16,343.26322507725996,0,297
102,45,268.0513465110272,1,275
103,18,228.95301725880302,0,133
104,47,209.93573066990103,1,170
105,53,162.98590870603422,0,162
106,24,311.012846622098,1,133
107,26,210.30125664650478,0,311
108,25,167.52611158416477,0,173
109,45,232.4214245104062,0,297
110,41,180.8088557305968,1,232
111,29,181.83260454017795,0,138
112,15,240.99503981190273,0,152
113,45,226.05689620980115,1,109
114,1,630.9445122042627,1,344
115,25,307.71898472215463,1,282
116,7,358.85798560328936,1,140
117,9,281.7318504613634,0,325
118,24,194.8328256851501,0,214
119,1,695.5387273541668,1,292
120,44,267.1939742600083,0,295
121,8,348.34031247109505,1,218
122,24,292.9252150225589,0,310
123,11,259.3144587843172,1,341
124,51,150.0,0,161
125,17,317.94611545136786,1,110
126,8,302.75130395749346,1,111
127,35,261.08608105136085,0,268
128,35,311.23921550979287,0,190
129,33,351.1321963677664,0,329
130,59,184.17559275962563,1,264
131,5,373.36466202494887,0,278
132,42,291.59763698376065,1,316
133,39,182.78604907385022,0,244
134,58,187.84357285285148,0,204
135,41,194.40759488658006,1,237
136,28,233.07824295028854,1,73
137,7,313.9938159855015,0,305
138,9,270.31023388718376,1,246
139,8,262.8232403307981,1,318
140,12,317.5200933428415,0,99
141,34,295.4629796197344,1,148
142,33,303.5475044145031,0,184
143,48,196.3544853960819,0,68
144,55,260.5433764700067,1,143
145,23,253.48296180305542,0,80
146,24,211.46643256933373,1,340
147,37,263.026700409094,0,231
148,35,196.94752507550294,1,84
149,44,203.4133920831378,1,162
150,40,155.5537587772575,1,249
151,22,220.26720599790391,1,295
152,27,248.40734616501496,1,96
153,35,306.22450256165257,0,331
154,1,682.3252276899157,0,352
155,35,175.86932042343108,1,211
156,37,301.18423802039047,0,341
157,47,195.60571147912245,1,79
158,14,179.24758385962343,1,196
159,3,456.6546867568392,0,88
160,1,683.7613263360413,0,90
161,5,481.6864488009252,1,78
162,26,260.80533875439767,1,207
163,55,210.54002517440105,1,342
164,14,220.44180620388653,1,359
165,39,241.50834205964836,1,222
166,27,308.5497832173754,1,172
167,9,315.59070917386305,0,209
168,15,220.1285153941027,1,314
169,15,289.4403105875977,1,146
170,26,234.60669229339626,0,157
171,42,245.6864691193965,1,191
172,13,253.68820391936043,1,156
173,51,200.31600551770862,0,157
174,32,209.41404043144132,1,349
175,39,272.1119075748681,0,286
176,49,201.58873623794543,1,204
177,52,195.88138795959054,0,215
178,32,183.199735224912,0,329
179,4,422.70069008583835,0,221
180,30,247.84315462268995,1,171
181,37,203.87737824925267,1,244
182,23,206.1977312887736,0,264
183,39,318.8086706613856,0,156
184,45,150.0,1,114
185,15,287.15860016008605,1,176
186,43,287.29745013807315,1,152
187,29,150.0,1,352
188,36,266.734030030836,1,263
189,13,260.41584135376706,0,341
190,32,243.10577351719328,1,248
191,7,308.8381017738955,0,143
192,59,270.4363389489705,1,239
193,51,237.3867363143371,0,333
194,22,250.06425534628102,0,240
195,28,189.53972827276,1,240
196,2,627.4479450250427,0,342
197,42,223.75236494015192,0,346
198,45,336.2294203078056,0,165
199,57,313.6198485692546,0,188
200,53,150.0,1,321
201,6,310.10984481700837,0,70
202,28,182.63520832194257,1,221
203,28,232.07245454633653,0,240
204,44,231.58042324653033,1,272
205,44,233.71854561689375,1,333
206,20,300.32548141999655,1,80
207,30,306.9372029815725,0,334
208,11,331.70772079526523,1,319
209,58,188.90239183118553,1,175
210,55,178.75594960177088,0,84
211,28,234.62085041488646,1,313
212,25,259.7675147817715,0,270
213,39,215.8404327141439,0,316
214,33,162.13752289327124,1,227
215,1,734.1029754288401,0,80
216,57,197.62564087364967,0,145
217,27,214.58864899318357,0,74
218,57,214.51074560744019,1,109
219,52,206.87297867429385,0,255
220,13,253.1035186529664,0,347
221,41,159.80325846286433,0,304
222,3,444.38762665241705,1,260
223,39,260.14768959534337,0,252
224,6,356.08934311320735,1,205
225,8,358.51718306614333,0,186
226,27,199.28703459828537,1,234
227,9,236.0970760441099,1,193
228,37,214.0232905247844,1,125
229,33,198.6999337784475,0,338
230,51,193.71402007038182,0,305
231,42,233.84329985754474,0,296
232,44,197.06819526698945,1,230
233,24,177.4965755396803,0,110
234,15,234.55026360590008,0,212
235,59,233.66963500970672,1,139
236,54,251.75584823216406,0,204
237,32,263.3741695071977,0,333
238,32,251.52668501542578,1,214
239,24,231.59532670173778,1,202
240,41,244.05522875748028,0,357
241,52,216.75114161839005,1,93
242,49,225.65480689101187,0,298
243,49,173.03366310670302,0,197
244,58,219.14290073040866,0,313
245,52,237.80123624087247,0,64
246,12,293.9794425950623,0,235
247,39,160.62404869703505,1,273
248,2,538.1463721535024,1,82
249,3,377.80552112680436,0,72
250,49,228.68383230692632,1,300
251,37,191.2489298935485,1,335
252,49,305.28214712627226,0,151
253,56,223.5060261139173,1,167
254,17,295.6137565467517,1,288
255,59,322.2102985178807,0,211
256,49,179.12990944556395,0,167
257,2,555.1170788786288,0,348
258,2,474.037782871691,0,235
259,28,251.72760903318562,0,345
260,54,306.46728150433836,0,300
261,23,210.2725059445772,0,204
262,37,182.01807380895443,1,73
263,32,225.74431862710216,0,334
264,33,331.70262911029664,1,130
265,1,738.5519459976628,1,254
266,19,204.75426739719947,0,359
267,2,606.0863624574217,1,70
268,53,150.0,1,165
269,44,329.05017866235846,1,317
270,26,279.859571037795,0,255
271,32,318.4809023033662,1,204
272,6,260.46723743794115,1,279
273,32,238.77512184601463,0,233
274,55,211.16269652885708,1,275
275,4,349.651026327668,1,152
276,55,153.05596184457323,1,319
277,11,308.6873962713108,1,122
278,56,247.43044505480398,1,88
279,59,281.6653690029543,0,334
280,17,230.384502889214,1,344
281,38,218.56053513323513,0,129
282,24,170.87700375269543,1,338
283,5,443.7059572664041,0,290
284,52,222.34532891616405,0,314
285,34,264.70085365243386,0,231
286,6,380.7524126626935,1,239
287,22,316.43361873466415,1,323
288,11,241.76335996996065,1,242
289,48,255.28749328266503,1,264
290,16,257.5730940963126,1,308
291,33,334.6956180229139,0,272
292,9,258.28179105019916,0,218
293,59,275.23798405486025,0,159
294,6,360.37423181856275,1,171
295,16,273.71633412206575,1,225
296,29,236.03436963570783,0,95
297,3,517.3332911418394,1,171
298,20,260.81163267274434,1,146
299,59,150.0,0,242
300,36,288.00220546263927,0,144
301,19,301.81009160658607,1,328
302,26,266.39392124767943,1,224
303,3,393.57631851262266,0,149
304,19,201.34423198893398,1,297
305,20,153.74690335724216,0,81
306,32,253.319523962021,0,226
307,7,257.5225575912815,0,274
308,52,150.0,1,117
309,41,287.558979774526,0,89
310,33,267.8207429290247,0,165
311,40,207.73166066089266,1,226
312,39,218.29767083714023,0,213
313,18,150.0,1,66
314,40,270.2274898554,1,256
315,1,665.3634267755658,1,105
316,11,299.84787648999037,0,77
317,28,150.0,0,212
318,57,266.1197809184221,1,323
319,25,200.81929999225224,1,133
320,50,150.8057299477872,1,204
321,23,224.6865849422483,0,161
322,31,201.43023910322574,1,180
323,30,285.97144516162234,1,235
324,42,202.23605783540702,1,122
325,35,295.9086291084461,0,355
326,7,341.50713078945364,1,143
327,16,303.5419237723834,0,74
328,26,236.92871437564273,0,193
329,48,284.01111238230027,1,180
330,57,159.56017979621103,1,187
331,52,224.54914740301825,1,347
332,49,200.17820852842925,0,239
333,2,603.1647573086989,0,141
334,1,774.9517202329713,0,72
335,48,220.42922622716205,1,83
336,12,212.34752186828666,0,227
337,5,388.02153250625,1,329
338,37,150.0,1,129
339,32,311.61017024218586,1,148
340,59,193.00816313486473,0,248
341,55,216.3286346862681,0,316
342,9,265.9524462096623,0,276
343,41,178.72044447448275,1,91
344,35,264.6423436051304,0,200
345,19,242.06916614743392,0,220
