engine_id,cycle,temperature,vibration,rul
1,1,499.0979437200848,0.035779527142298644,251
1,2,501.34454706431507,0.07845400024240087,250
1,3,498.76158440760133,0.0038635026643661155,249
1,4,496.7717250141615,-0.014514194931718903,248
1,5,501.7772229928684,-0.03626239535207092,247
1,6,501.3501398149076,0.002307621629164411,246
1,7,501.4333325421129,-0.011003843211031466,245
1,8,500.5236667668651,0.004630130177242529,244
1,9,502.22987208884376,-0.027761069995113047,243
1,10,502.2690561889003,0.009054742766448203,242
1,11,504.4512182135448,0.005715418477950494,241
1,12,501.33070667869237,0.10677235041603292,240
1,13,498.5259258479049,0.06730180542062147,239
1,14,504.33616304680777,-0.043511677940948464,238
1,15,505.23664686398456,0.030427487686584313,237
1,16,502.4016572734741,-0.045922891033014016,236
1,17,504.50524152657795,-0.02294722530290612,235
1,18,500.8155499637836,-0.005104812192190148,234
1,19,502.8469098334929,0.016175204565390906,233
1,20,503.61568264440245,0.07319404650878909,232
1,21,505.56346454933015,0.004890780460901295,231
1,22,502.55070620478455,0.0732420698942189,230
1,23,506.13455631248854,0.14696559652631314,229
1,24,505.2888768423652,0.09662370319299406,228
1,25,505.88195006061477,0.019217123442966777,227
1,26,502.13881559429694,0.0513976224880507,226
1,27,503.6703030104243,-0.009926474351490962,225
1,28,505.4684819506085,0.0024077939938531995,224
1,29,502.6278346647952,-0.023159919473315763,223
1,30,507.81354975392316,0.05097453828412059,222
1,31,507.5476741692156,0.026246555690168927,221
1,32,507.67377537644444,0.03011859238231691,220
1,33,506.21120887142087,0.07681269531377495,219
1,34,506.25453637117766,-0.019381599819611794,218
1,35,509.3687891287107,0.08131990195554792,217
1,36,503.99454656896904,0.05210172879389755,216
1,37,503.25242379763,0.07425289288631415,215
1,38,505.67215685785845,0.06057977194253567,214
1,39,506.5083437192606,0.038620245607212916,213
1,40,505.17507388796344,0.008557317068913033,212
1,41,508.0152861075973,0.07129407506820926,211
1,42,511.9218950193505,0.0529233659753902,210
1,43,509.1270469287627,-0.02684765045933408,209
1,44,505.89296580412764,0.034759983539011705,208
